_step,val/final_dice,val/context_dice,val/context_mask_size_max,val/context_mask_size_mean,val/context_mask_size_min,val/context_soft_dice,val/final_pixel_mae,val/final_soft_dice,val/level_0_dice,val/level_0_pixel_mae,val/level_0_soft_dice,val/level_1_dice,val/level_1_pixel_mae,val/level_1_refined_probs_dice,val/level_1_refined_probs_soft_dice,val/level_1_soft_dice,val/level_2_dice,val/level_2_pixel_mae,val/level_2_refined_probs_dice,val/level_2_refined_probs_soft_dice,val/level_2_soft_dice,val/local_dice,val/local_soft_dice,val/mean_confidence,val/mean_entropy,val/mean_entropy_on_correct,val/mean_entropy_on_errors,val/target_mask_size_max,val/target_mask_size_mean,val/target_mask_size_min
5768,0.3316788986531271,0.5726640389262256,6395,101.48829756998721,0,0.648917090096232,0.01179425838330443,0.34137750482229595,0.5180758048312455,0.01854722817698794,0.5045616207858934,0.4408770923240943,0.013246462628897709,0.18634718948382936,0.18715899063420185,0.43256643531234584,0.3104125384224175,0.01114426698956278,0.013238734927662532,0.11579972656641138,0.3192861570465949,0.16151480114061711,0.17169205308784538,0.9864844943521209,0.013515489675911478,0.008111389330266396,0.4690065941502971,6395,101.24321443797072,0
7691,0.3301070694412504,0.572670900876621,6395,101.4752167116669,0,0.6489189680545561,0.011704325293993345,0.3409994620194633,0.518172288133252,0.01832300494532294,0.5050073461049164,0.439932559835746,0.0131804100345082,0.16241037756341942,0.18962585575844285,0.43248013561497084,0.3089989179977074,0.011156148624859648,0.010415393949256337,0.11767337563949797,0.31871708355466344,0.16142060441149544,0.1720545231128618,0.9872177276193821,0.012782263932191694,0.007555095051857321,0.4549905602833093,6395,101.24321443797072,0
9614,0.3263976048626658,0.5722229476623272,6395,101.45753872388802,0,0.6483597537064882,0.012161291562758969,0.33735231917849334,0.5186699595868862,0.018524986322677354,0.5049082811252312,0.43745553493499756,0.013463554028335805,0.15480449603449914,0.19000200147865004,0.43003457125430833,0.3030107791797357,0.011514695371986123,0.007761604132101362,0.11625286912725817,0.3126874415693195,0.15966894031257672,0.1702441711167586,0.9865662414357409,0.0134337495321468,0.007934772925588736,0.4600275553041889,6395,101.24321443797072,0
11537,0.32276822125307425,0.5725840492182613,6395,101.43338780730424,0,0.6490639216064857,0.012409916130422447,0.3348882742878479,0.5208399744901789,0.018614522245828456,0.5072998736860566,0.4351512339257974,0.013617953916470851,0.13535967949898012,0.1866447628917782,0.4285225174668747,0.2980891971544187,0.011741482764310826,0.004778707363161739,0.11208470553709066,0.30880533625727974,0.1578494138019975,0.1688562978385231,0.9865546512164278,0.01344533895532931,0.007934885758322918,0.45115851051247063,6395,101.24321443797072,0
13460,0.3243329132894217,0.5723807011057155,6395,101.40995452607645,0,0.6486414631116225,0.012358458144032324,0.3363825253764605,0.5203524753794692,0.018646624505794542,0.5072809869792604,0.435782790184021,0.013599642618958439,0.13465624426229758,0.18747269770791453,0.42915222055626356,0.2990353965127523,0.011698686481294681,0.003985627516042623,0.11115755236917926,0.30958093373182183,0.1582284854373075,0.16928671894397604,0.986514621890635,0.01348536865021776,0.00796156438616907,0.4542557877329637,6395,101.24321443797072,0
15383,0.32293133664241036,0.5719191940149404,6395,101.45316896404718,0,0.6484014460568055,0.012608033825948078,0.33626726901476284,0.521529707765799,0.018403525163810098,0.5092408150297156,0.43675210330343467,0.013690082512984765,0.13970239587505842,0.19175651394826476,0.43112534106052414,0.29692885307123035,0.011957777264927114,0.003299924989845079,0.11063190199400423,0.3084138852247994,0.1568686789768632,0.16834867398859718,0.9866546439135679,0.013345343105855488,0.007745360033929966,0.4480458059893226,6395,101.24321443797072,0
17306,0.3215284213629736,0.5722071639678445,6395,101.4455165553503,0,0.6486595104092278,0.012787515001397253,0.3346072138042494,0.5232198779484094,0.01836011884090263,0.5096368168905583,0.4365466504877064,0.013744100271659787,0.13698626045257814,0.19171312279690245,0.43049194488657233,0.29321206247751613,0.012096185805833971,0.00358392872069004,0.10863612345012102,0.3043527382722099,0.1551306511056588,0.16652487558291254,0.9863402187000222,0.013659773572575524,0.007991833726055749,0.4483661062431775,6395,101.24321443797072,0
19229,0.33225939440013075,0.571961990287227,6395,101.43099332101748,0,0.6485937195164817,0.011934503065293423,0.3443935626800159,0.5236608284409694,0.018036102506971578,0.5110547285750165,0.44395192509972004,0.013180391751401435,0.136018463457647,0.19547560069418174,0.43690512174834856,0.30672199323704713,0.011473792457034648,0.0027018349441965007,0.11380140153768425,0.31663306751009507,0.1604900048350409,0.17163360002128758,0.9876197653432046,0.012380222770630077,0.007201348006519305,0.43930109113042803,6395,101.24321443797072,0
21152,0.2963923653287272,0.5711985516108675,6395,101.45284922552224,0,0.6485493508626788,0.014155078831682419,0.3149161418462129,0.5076711635161105,0.01988700594032003,0.49934305037770954,0.4122168868780136,0.015042820537660253,0.10304116576154661,0.17921207735340716,0.4115098035692619,0.26632263171508014,0.013053339011194657,0.004712547412527128,0.10401664890589253,0.2825163685231714,0.14191751942587888,0.15557517712154695,0.9852302964381908,0.014769690907410076,0.008273729744414511,0.45741281709912734,6395,101.24321443797072,0
23075,0.342038912913217,0.5716861369697729,6395,101.43613755861873,0,0.6481589323364645,0.010815204837904548,0.34983238179562826,0.5154490417324453,0.018041388028674686,0.5050320714574805,0.44727521928774044,0.012548266047362908,0.14621264496088576,0.19763448800084776,0.4359418406464537,0.3160037713528778,0.010801118526024066,0.005989821781470035,0.12492199334818098,0.3207541642375805,0.16202551074978394,0.17022600876433508,0.987358010858984,0.012641986428592612,0.007224974563680074,0.5071757617084661,6395,101.24321443797072,0
24998,0.3727672845811888,0.57478529736743,6395,101.44099758419782,0,0.6478525006001995,0.009705175344149844,0.37561486427959756,0.5136507550417553,0.01820042932380317,0.5022999375097214,0.4607235796165906,0.011813095264342799,0.1270493769563288,0.194542786561399,0.4447277924432183,0.3464882511834395,0.00964804255073109,0.02047058465742519,0.13815834143194736,0.3452563322222178,0.16441849347907828,0.1716996448861289,0.9873567553159828,0.012643232827894561,0.007610347010366928,0.5319998052812391,6395,101.24321443797072,0
26921,0.37835208034735124,0.573888836093762,6395,101.44570839846526,0,0.6478458173264007,0.009858521242295542,0.37249712975618476,0.5234360579521425,0.0179927555118872,0.5100018101903151,0.4629126163671643,0.011995580459382676,0.16543431068483036,0.20200513468085346,0.4431291265147073,0.3501527932245061,0.009787483717001597,0.042366585379878426,0.145972852470688,0.3381765948325258,0.16807740525029222,0.17025970969743992,0.9860357158744391,0.013964271097774468,0.008333118314841926,0.5837997203598374,6395,101.24321443797072,0
28844,0.4000331066583159,0.5731268758598012,6395,101.41754298706836,0,0.6488215909575537,0.007911677250192256,0.40230625943379467,0.5283494680982581,0.016798736873052774,0.5204096428260275,0.4872172787991537,0.010030892043490358,0.10086801323679186,0.19422426160579453,0.4660594895962746,0.3774887115312611,0.008471292498294042,0.039697391491743825,0.15718209139213035,0.37391889589722804,0.17920581258249724,0.18526665354791325,0.9914844231122101,0.008515570622821626,0.005006145331836928,0.4555825485337165,6395,101.24321443797072,0
30767,0.3708348774140881,0.5735597604980117,6395,101.48618729572262,0,0.649288443101716,0.010272870370302745,0.3801666866936442,0.5292957651725013,0.018630577461613763,0.5220273343099427,0.46859373145389116,0.012059725936897065,0.10960443941060849,0.17759540223855577,0.45481763361236466,0.33733665812674757,0.01012241205603983,0.05090821125814991,0.13953249032870965,0.3420756986613647,0.16245835346560325,0.16998585107551742,0.9861146879086297,0.013885297301796174,0.008251150379017476,0.5506055842621536,6395,101.24321443797072,0
32690,0.40205993932513046,0.5730570112505267,6395,101.44459286627824,0,0.6482329242240449,0.008640664236937663,0.39612014557359404,0.5349521191988124,0.017024518870469612,0.5244183506009765,0.4852704198404391,0.010879381117732843,0.1225256874195991,0.19064222653889987,0.4621372358864903,0.37217884170844256,0.008948967872565175,0.0587555697780051,0.15362618238695205,0.3621531435146859,0.1769689159115888,0.1793774340284585,0.9876795850591176,0.012320407281076098,0.007574937545612867,0.5681539680551274,6395,101.24321443797072,0
34613,0.41759964803122157,0.5741695827602791,6395,101.4101818956942,0,0.6480966059293615,0.008261459448250345,0.40683834309676825,0.5304769622290739,0.017385973573623714,0.5200564667651181,0.49572937581945675,0.01046139318581825,0.13517788553842203,0.20040754774748454,0.4702216554347271,0.3877189874237034,0.008626651113277756,0.058052078546089236,0.16197664359335526,0.3727301425785513,0.17881996218921953,0.18111485448850465,0.987686161621375,0.012313832346487292,0.007704870450237448,0.5813702035884154,6395,101.24321443797072,0
36536,0.4027286800233999,0.5727941120549831,6395,101.43225095921558,0,0.6489796692050547,0.008868910012818221,0.405805255410858,0.5296641051219905,0.01817644102722063,0.52253545497969,0.49086771143196917,0.010808952358735871,0.07378269515691264,0.17402444347258536,0.47288738143059517,0.3697470806298717,0.009061139047978454,0.05963796952284426,0.14995517245223444,0.36709516821643723,0.1693554812793358,0.175064204303625,0.98681467194711,0.013185321968177566,0.008081953690391601,0.5842282832492881,6395,101.24321443797072,0
